REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,BEHFSTPH1,BEE1,1,2021,1.0
REGION1,BEWSCHPH1,BEE1,1,2021,1.0
REGION1,BEWSSTPH1,BEE1,1,2021,1.0
REGION1,BEWIOFPH1,BEE1,1,2021,1.0
REGION1,BEWIONPH1,BEE1,1,2021,1.0
REGION1,BESOUTPH1,BEE1,1,2021,1.0
REGION1,BEHYDMPH1,BEE1,1,2021,1.0
REGION1,BEHYDRPH1,BEE1,1,2021,1.0
REGION1,BEBMCHPH1,BEE1,1,2021,1.0
REGION1,BEBMSTPH1,BEE1,1,2021,1.0
REGION1,BGBFHPFH1,BGE1,1,2021,1.0
REGION1,BGCOCHPH1,BGE1,1,2021,1.0
REGION1,BGCOSTPH1,BGE1,1,2021,1.0
REGION1,BGHFCHPH1,BGE1,1,2021,1.0
REGION1,BGHYDMPH1,BGE1,1,2021,1.0
REGION1,BGNGCHPH1,BGE1,1,2021,1.0
REGION1,BGNGSTPH1,BGE1,1,2021,1.0
REGION1,BGNUG2PH1,BGE1,1,2021,1.0
REGION1,BGSOUTPH1,BGE1,1,2021,1.0
REGION1,BGWIONPH1,BGE1,1,2021,1.0
REGION1,BGLICHPH1,BGE1,1,2021,1.0
REGION1,BGLIELH1,BGE1,1,2021,1.0
REGION1,BGBFCHPH1,BGE1,1,2021,1.0
REGION1,BGRGCHPH1,BGE1,1,2021,1.0
REGION1,BGRGELH1,BGE1,1,2021,1.0
REGION1,BGDSCHPH1,BGE1,1,2021,1.0
REGION1,BGDSELH1,BGE1,1,2021,1.0
REGION1,BGHFSTPH1,BGE1,1,2021,1.0
REGION1,BGBMCHPH1,BGE1,1,2021,1.0
REGION1,BGBMSTPH1,BGE1,1,2021,1.0
REGION1,BGWSCHPH1,BGE1,1,2021,1.0
REGION1,BGHYDRPH1,BGE1,1,2021,1.0
REGION1,CYBFCHPH1,CYE1,1,2021,1.0
REGION1,CYHFSTPH1,CYE1,1,2021,1.0
REGION1,CYSOUTPH1,CYE1,1,2021,1.0
REGION1,CYWIONPH1,CYE1,1,2021,1.0
REGION1,CYDSCCPH1,CYE1,1,2021,1.0
REGION1,CYDSGCPH1,CYE1,1,2021,1.0
REGION1,CYDSSTPH1,CYE1,1,2021,1.0
REGION1,CYDSHPFH1,CYE1,1,2021,1.0
REGION1,CYHFCHPH1,CYE1,1,2021,1.0
REGION1,CZNUG2PH1,CZE1,1,2021,1.0
REGION1,CZCOCHPH1,CZE1,1,2021,1.0
REGION1,CZCOSTPH1,CZE1,1,2021,1.0
REGION1,CZLICHPH1,CZE1,1,2021,1.0
REGION1,CZLIELH1,CZE1,1,2021,1.0
REGION1,CZNGCCPH1,CZE1,1,2021,1.0
REGION1,CZNGCHPH1,CZE1,1,2021,1.0
