REGION,FUEL,TIMESLICE,YEAR,VALUE
REGION1,IEE3,S3P4,2021,0.0257615234521344
REGION1,IEE3,S4P1,2021,0.0605075580531152
REGION1,IEE3,S4P2,2021,0.113857170107803
REGION1,IEE3,S4P3,2021,0.0480039887352827
REGION1,IEE3,S4P4,2021,0.0294843366938532
REGION1,ITE3,S1P1,2021,0.0576815530134933
REGION1,ITE3,S1P2,2021,0.118219576158739
REGION1,ITE3,S1P3,2021,0.0477404455463722
REGION1,ITE3,S1P4,2021,0.0270728892871747
REGION1,ITE3,S2P1,2021,0.0592433222484927
REGION1,ITE3,S2P2,2021,0.109459714640952
REGION1,ITE3,S2P3,2021,0.0438051359661966
REGION1,ITE3,S2P4,2021,0.0253150818622841
REGION1,ITE3,S3P1,2021,0.0647902648420901
REGION1,ITE3,S3P2,2021,0.121410325768051
REGION1,ITE3,S3P3,2021,0.0473012079667997
REGION1,ITE3,S3P4,2021,0.028397900142073
REGION1,ITE3,S4P1,2021,0.0611691636466694
REGION1,ITE3,S4P2,2021,0.116622360768362
REGION1,ITE3,S4P3,2021,0.0455923791384641
REGION1,ITE3,S4P4,2021,0.0261786790037843
REGION1,LTE3,S1P1,2021,0.0694674011543819
REGION1,LTE3,S1P2,2021,0.128630046639641
REGION1,LTE3,S1P3,2021,0.0464005036162582
REGION1,LTE3,S1P4,2021,0.0278417848081924
REGION1,LTE3,S2P1,2021,0.0663100386978877
REGION1,LTE3,S2P2,2021,0.108997054206906
REGION1,LTE3,S2P3,2021,0.0413871635552151
REGION1,LTE3,S2P4,2021,0.0248963443375124
REGION1,LTE3,S3P1,2021,0.0619114744686888
REGION1,LTE3,S3P2,2021,0.106306182985034
REGION1,LTE3,S3P3,2021,0.0391366455242877
REGION1,LTE3,S3P4,2021,0.0236082022897153
REGION1,LTE3,S4P1,2021,0.0681116102158384
REGION1,LTE3,S4P2,2021,0.118132354676549
REGION1,LTE3,S4P3,2021,0.0432490847985259
REGION1,LTE3,S4P4,2021,0.025614108025364
REGION1,LUE3,S1P1,2021,0.0653924017592694
REGION1,LUE3,S1P2,2021,0.122135862243934
REGION1,LUE3,S1P3,2021,0.0473250853952443
REGION1,LUE3,S1P4,2021,0.0298400327454675
REGION1,LUE3,S2P1,2021,0.0645956108076572
REGION1,LUE3,S2P2,2021,0.114881741354232
REGION1,LUE3,S2P3,2021,0.0433364793766115
REGION1,LUE3,S2P4,2021,0.0273090635935453
REGION1,LUE3,S3P1,2021,0.0600491345542433
REGION1,LUE3,S3P2,2021,0.109490989215524
REGION1,LUE3,S3P3,2021,0.0396193851319612
REGION1,LUE3,S3P4,2021,0.0249813823821461
REGION1,LUE3,S4P1,2021,0.0632041992504508
REGION1,LUE3,S4P2,2021,0.116976767565141
REGION1,LUE3,S4P3,2021,0.0440554877829185
REGION1,LUE3,S4P4,2021,0.0268063768416514
REGION1,LVE3,S1P1,2021,0.0690406144802902
REGION1,LVE3,S1P2,2021,0.132702814917308
REGION1,LVE3,S1P3,2021,0.0480613733369289
REGION1,LVE3,S1P4,2021,0.0280504531268894
REGION1,LVE3,S2P1,2021,0.0649864154838896
REGION1,LVE3,S2P2,2021,0.112549214638964
REGION1,LVE3,S2P3,2021,0.0425185725938423
REGION1,LVE3,S2P4,2021,0.0246825688023389
REGION1,LVE3,S3P1,2021,0.0591432407978805
REGION1,LVE3,S3P2,2021,0.104651679860775
REGION1,LVE3,S3P3,2021,0.0388925458794112
REGION1,LVE3,S3P4,2021,0.0228850591740916
REGION1,LVE3,S4P1,2021,0.0654447507414312
REGION1,LVE3,S4P2,2021,0.118635072238547
REGION1,LVE3,S4P3,2021,0.0432308224690831
REGION1,LVE3,S4P4,2021,0.0245248014583259
REGION1,MTE3,S1P1,2021,0.071150140357968
REGION1,MTE3,S1P2,2021,0.128985247415445
REGION1,MTE3,S1P3,2021,0.0486712315573882
REGION1,MTE3,S1P4,2021,0.0310769829998681
REGION1,MTE3,S2P1,2021,0.066492400634397
REGION1,MTE3,S2P2,2021,0.111547838028868
REGION1,MTE3,S2P3,2021,0.0431515906456579
REGION1,MTE3,S2P4,2021,0.0271306285172964
REGION1,MTE3,S3P1,2021,0.0596653639087642
REGION1,MTE3,S3P2,2021,0.101868447697267
REGION1,MTE3,S3P3,2021,0.0391269754024475
REGION1,MTE3,S3P4,2021,0.0241843047440888
REGION1,MTE3,S4P1,2021,0.0650500211588621
REGION1,MTE3,S4P2,2021,0.112549342965518
REGION1,MTE3,S4P3,2021,0.0428995161805279
REGION1,MTE3,S4P4,2021,0.026449967785633
REGION1,NLE3,S1P1,2021,0.065162451557629
REGION1,NLE3,S1P2,2021,0.114923230688271
REGION1,NLE3,S1P3,2021,0.0480232814806224
REGION1,NLE3,S1P4,2021,0.0299664373708958
REGION1,NLE3,S2P1,2021,0.0633986744001842
REGION1,NLE3,S2P2,2021,0.102237891228085
REGION1,NLE3,S2P3,2021,0.0439034799548261
REGION1,NLE3,S2P4,2021,0.0281286833796866
REGION1,NLE3,S3P1,2021,0.064291281088857
REGION1,NLE3,S3P2,2021,0.106904242815436
REGION1,NLE3,S3P3,2021,0.0428728220492258
REGION1,NLE3,S3P4,2021,0.0287738379975376
REGION1,NLE3,S4P1,2021,0.0667158664396157
REGION1,NLE3,S4P2,2021,0.118012368098693
REGION1,NLE3,S4P3,2021,0.0474485771937861
REGION1,NLE3,S4P4,2021,0.0292368742566467
REGION1,NOE3,S1P1,2021,0.0822189874716619
REGION1,NOE3,S1P2,2021,0.130520910568473
REGION1,NOE3,S1P3,2021,0.0513624963766401
REGION1,NOE3,S1P4,2021,0.036040152431741
REGION1,NOE3,S2P1,2021,0.0716448944233548
REGION1,NOE3,S2P2,2021,0.107596114719099
REGION1,NOE3,S2P3,2021,0.0428054144848687
REGION1,NOE3,S2P4,2021,0.0303043206608222
REGION1,NOE3,S3P1,2021,0.0534525608284216
REGION1,NOE3,S3P2,2021,0.0849087290282764
REGION1,NOE3,S3P3,2021,0.0334184670703158
REGION1,NOE3,S3P4,2021,0.0232445154306118
REGION1,NOE3,S4P1,2021,0.0694313800084352
REGION1,NOE3,S4P2,2021,0.109648066603932
REGION1,NOE3,S4P3,2021,0.0435014022780703
REGION1,NOE3,S4P4,2021,0.0299015876152742
REGION1,PLE3,S1P1,2021,0.0668434694787855
REGION1,PLE3,S1P2,2021,0.12215845474037
REGION1,PLE3,S1P3,2021,0.0478314932291993
REGION1,PLE3,S1P4,2021,0.0297791652882201
REGION1,PLE3,S2P1,2021,0.0648811411947848
REGION1,PLE3,S2P2,2021,0.110341721706022
REGION1,PLE3,S2P3,2021,0.0444359227649077
REGION1,PLE3,S2P4,2021,0.0272260383128203
REGION1,PLE3,S3P1,2021,0.0607495572578972
REGION1,PLE3,S3P2,2021,0.106034781679103
REGION1,PLE3,S3P3,2021,0.0419091832839615
REGION1,PLE3,S3P4,2021,0.0256562712971498
REGION1,PLE3,S4P1,2021,0.0649477589491157
REGION1,PLE3,S4P2,2021,0.114811432039275
REGION1,PLE3,S4P3,2021,0.0451325162084646
REGION1,PLE3,S4P4,2021,0.0272610925699213
REGION1,PTE3,S1P1,2021,0.0626923344817644
REGION1,PTE3,S1P2,2021,0.118055333618765
REGION1,PTE3,S1P3,2021,0.0544338555122776
REGION1,PTE3,S1P4,2021,0.0365744347212666
REGION1,PTE3,S2P1,2021,0.0582834140077032
REGION1,PTE3,S2P2,2021,0.105729209285577
REGION1,PTE3,S2P3,2021,0.0454615799877659
REGION1,PTE3,S2P4,2021,0.0303499838007365
REGION1,PTE3,S3P1,2021,0.059419097194194
REGION1,PTE3,S3P2,2021,0.106808840870022
REGION1,PTE3,S3P3,2021,0.045656230745201
REGION1,PTE3,S3P4,2021,0.0302927469700726
REGION1,PTE3,S4P1,2021,0.0585393035499271
REGION1,PTE3,S4P2,2021,0.109425113983062
REGION1,PTE3,S4P3,2021,0.0478992958944617
REGION1,PTE3,S4P4,2021,0.0303792253772005
REGION1,ROE3,S1P1,2021,0.0701595023528669
REGION1,ROE3,S1P2,2021,0.119862116407611
REGION1,ROE3,S1P3,2021,0.0476497361009704
REGION1,ROE3,S1P4,2021,0.0293327009273589
REGION1,ROE3,S2P1,2021,0.0677447981415554
REGION1,ROE3,S2P2,2021,0.106717037504448
REGION1,ROE3,S2P3,2021,0.044593533319678
REGION1,ROE3,S2P4,2021,0.02732031222849
REGION1,ROE3,S3P1,2021,0.0649292753806403
REGION1,ROE3,S3P2,2021,0.107269227359032
REGION1,ROE3,S3P3,2021,0.0442232573746609
REGION1,ROE3,S3P4,2021,0.0269623157415302
REGION1,ROE3,S4P1,2021,0.0660290242086315
REGION1,ROE3,S4P2,2021,0.106649051170286
REGION1,ROE3,S4P3,2021,0.043912365816559
REGION1,ROE3,S4P4,2021,0.0266457459656799
REGION1,SEE3,S1P1,2021,0.0803956905735627
REGION1,SEE3,S1P2,2021,0.132369049402129
REGION1,SEE3,S1P3,2021,0.0518764842324741
REGION1,SEE3,S1P4,2021,0.0347576541732616
REGION1,SEE3,S2P1,2021,0.0709490380843756
REGION1,SEE3,S2P2,2021,0.106805724279018
REGION1,SEE3,S2P3,2021,0.043210102160088
REGION1,SEE3,S2P4,2021,0.0292980466493638
REGION1,SEE3,S3P1,2021,0.0528249558878077
REGION1,SEE3,S3P2,2021,0.0882446568810714
REGION1,SEE3,S3P3,2021,0.0340347321466963
REGION1,SEE3,S3P4,2021,0.0224992007119518
REGION1,SEE3,S4P1,2021,0.0678501097074363
REGION1,SEE3,S4P2,2021,0.11249412655172
REGION1,SEE3,S4P3,2021,0.0436341047280352
REGION1,SEE3,S4P4,2021,0.0287563238310077
