REGION,TECHNOLOGY,VALUE
REGION1,BGSOUTPN1,31.536
REGION1,BGWIONPN1,31.536
REGION1,BGLICHPN1,31.536
REGION1,BGLIELN1,31.536
REGION1,BGBFCHPN1,31.536
REGION1,BGRGCHPN1,31.536
REGION1,BGRGELN1,31.536
REGION1,BGDSCHPN1,31.536
REGION1,BGDSELN1,31.536
REGION1,BGHFSTPN1,31.536
REGION1,BGBMCHPN1,31.536
REGION1,BGBMSTPN1,31.536
REGION1,BGWSCHPN1,31.536
REGION1,BGHYDRPN1,31.536
REGION1,CYBFCHPN1,31.536
REGION1,CYHFSTPN1,31.536
REGION1,CYSOUTPN1,31.536
REGION1,CYWIONPN1,31.536
REGION1,CYDSCCPN1,31.536
REGION1,CYDSGCPN1,31.536
REGION1,CYDSSTPN1,31.536
REGION1,CYDSHPFN1,31.536
REGION1,CYHFCHPN1,31.536
REGION1,CZNUG2PN1,31.536
REGION1,CZCOCHPN1,31.536
REGION1,CZCOSTPN1,31.536
REGION1,CZLICHPN1,31.536
REGION1,CZLIELN1,31.536
REGION1,CZNGCCPN1,31.536
REGION1,CZNGCHPN1,31.536
REGION1,CZBFHPFN1,31.536
REGION1,CZBFCHPN1,31.536
REGION1,CZDGCHPN1,31.536
REGION1,CZRGCHPN1,31.536
REGION1,CZDSCHPN1,31.536
REGION1,CZDSGCPN1,31.536
REGION1,CZHFCHPN1,31.536
REGION1,CZHFSTPN1,31.536
REGION1,CZBMSTPN1,31.536
REGION1,CZBMCHPN1,31.536
REGION1,CZWSCHPN1,31.536
REGION1,CZWIONPN1,31.536
REGION1,CZSOUTPN1,31.536
REGION1,CZHYDRPN1,31.536
REGION1,CZHYDMPN1,31.536
REGION1,CZHYDSPN1,31.536
REGION1,DENUG2PN1,31.536
REGION1,DECOCHPN1,31.536
REGION1,DECOSTPN1,31.536
REGION1,DELICHPN1,31.536
REGION1,DELIELN1,31.536
REGION1,DENGCCPN1,31.536
REGION1,DENGCHPN1,31.536
REGION1,DEBFHPFN1,31.536
REGION1,DEBFCHPN1,31.536
REGION1,DEDGCHPN1,31.536
REGION1,DEDGELN1,31.536
REGION1,DERGCHPN1,31.536
REGION1,DERGELN1,31.536
REGION1,DEDSCHPN1,31.536
REGION1,DEDSELN1,31.536
REGION1,DEHFCHPN1,31.536
REGION1,DEHFSTPN1,31.536
