REGION,STORAGE,YEAR,VALUE
REGION1,ROBATSH1,2027,0.0
REGION1,SEBATSH1,2027,0.0
REGION1,SIBATSH1,2027,0.0
REGION1,SKBATSH1,2027,0.0
REGION1,UKBATSH1,2027,0.0016625775453143034
REGION1,ATHYDSSN1,2027,0.0
REGION1,BEHYDSSN1,2027,0.0
REGION1,BGHYDSSN1,2027,0.0
REGION1,CZHYDSSN1,2027,0.0
REGION1,DEHYDSSN1,2027,0.0
REGION1,GRHYDSSN1,2027,0.021599999999999998
REGION1,ESHYDSSN1,2027,0.0144
REGION1,FRHYDSSN1,2027,0.0
REGION1,HRHYDSSN1,2027,0.0
REGION1,IEHYDSSN1,2027,0.0
REGION1,ITHYDSSN1,2027,0.0
REGION1,LTHYDSSN1,2027,0.0
REGION1,LUHYDSSN1,2027,0.0
REGION1,SLHYDSSN1,2027,0.0
REGION1,STHYDSSN1,2027,0.0
REGION1,ROHYDSSN1,2027,0.0
REGION1,SEHYDSSN1,2027,0.0
REGION1,SIHYDSSN1,2027,0.0
REGION1,SKHYDSSN1,2027,0.0
REGION1,CHHYDSSN1,2027,0.0
REGION1,UKHYDSSN1,2027,0.0
REGION1,MAHYDSSH1,2027,0.0133632
REGION1,ZAHYDSSH1,2027,0.0786816
REGION1,ATHYDSSH1,2028,0.172786176
REGION1,BEHYDSSH1,2028,0.03757824
REGION1,BGHYDSSH1,2028,0.0369216
REGION1,CZHYDSSH1,2028,0.033043968
REGION1,DEHYDSSH1,2028,0.192259008
REGION1,GRHYDSSH1,2028,0.0201312
REGION1,ESHYDSSH1,2028,0.1810347175384615
REGION1,FRHYDSSH1,2028,0.1704355199999997
REGION1,HRHYDSSH1,2028,0.00846144
REGION1,IEHYDSSH1,2028,0.0084096
REGION1,ITHYDSSH1,2028,0.2184566399999997
REGION1,LTHYDSSH1,2028,0.02592
REGION1,LUHYDSSH1,2028,0.034776
REGION1,SLHYDSSH1,2028,0.051332256
REGION1,STHYDSSH1,2028,0.07291008
REGION1,ROHYDSSH1,2028,0.0057168
REGION1,SEHYDSSH1,2028,0.0026496
REGION1,SIHYDSSH1,2028,0.0051264
REGION1,SKHYDSSH1,2028,0.0264096
REGION1,CHHYDSSH1,2028,0.01384811737117007
REGION1,UKHYDSSH1,2028,0.07109840304182506
REGION1,ATBATSH1,2028,3.841399508088912e-05
REGION1,BEBATSH1,2028,5.410421842378751e-05
REGION1,BGBATSH1,2028,0.0
REGION1,CHBATSH1,2028,0.0
REGION1,CYBATSH1,2028,0.0
REGION1,CZBATSH1,2028,0.0
REGION1,DEBATSH1,2028,0.0
REGION1,DKBATSH1,2028,0.0
REGION1,EEBATSH1,2028,0.0
REGION1,GRBATSH1,2028,0.0010517562488382962
REGION1,ESBATSH1,2028,0.0
REGION1,FIBATSH1,2028,0.0
REGION1,FRBATSH1,2028,0.0
REGION1,HRBATSH1,2028,0.0004434922784197861
REGION1,HUBATSH1,2028,0.0
REGION1,IEBATSH1,2028,0.0
REGION1,ITBATSH1,2028,0.0
REGION1,LTBATSH1,2028,0.0
REGION1,LUBATSH1,2028,0.0
REGION1,LVBATSH1,2028,0.0
REGION1,MTBATSH1,2028,0.0
REGION1,NLBATSH1,2028,0.0
REGION1,NOBATSH1,2028,0.0
REGION1,PLBATSH1,2028,0.0
REGION1,PTBATSH1,2028,0.0
REGION1,ROBATSH1,2028,0.0
REGION1,SEBATSH1,2028,0.0
REGION1,SIBATSH1,2028,0.0
REGION1,SKBATSH1,2028,0.0
REGION1,UKBATSH1,2028,0.0015960744435017313
REGION1,ATHYDSSN1,2028,0.0
REGION1,BEHYDSSN1,2028,0.0
REGION1,BGHYDSSN1,2028,0.0
REGION1,CZHYDSSN1,2028,0.0
REGION1,DEHYDSSN1,2028,0.0
REGION1,GRHYDSSN1,2028,0.021599999999999998
REGION1,ESHYDSSN1,2028,0.0324
REGION1,FRHYDSSN1,2028,0.0
REGION1,HRHYDSSN1,2028,0.0
REGION1,IEHYDSSN1,2028,0.0
REGION1,ITHYDSSN1,2028,0.0
REGION1,LTHYDSSN1,2028,0.0
REGION1,LUHYDSSN1,2028,0.0
REGION1,SLHYDSSN1,2028,0.0
REGION1,STHYDSSN1,2028,0.0
REGION1,ROHYDSSN1,2028,0.0
REGION1,SEHYDSSN1,2028,0.0
REGION1,SIHYDSSN1,2028,0.0
REGION1,SKHYDSSN1,2028,0.0
REGION1,CHHYDSSN1,2028,0.0
REGION1,UKHYDSSN1,2028,0.0
REGION1,MAHYDSSH1,2028,0.0133632
REGION1,ZAHYDSSH1,2028,0.0786816
REGION1,ATHYDSSH1,2029,0.172786176
REGION1,BEHYDSSH1,2029,0.03757824
REGION1,BGHYDSSH1,2029,0.0369216
REGION1,CZHYDSSH1,2029,0.033043968
REGION1,DEHYDSSH1,2029,0.192259008
REGION1,GRHYDSSH1,2029,0.0201312
REGION1,ESHYDSSH1,2029,0.1810294006153844
REGION1,FRHYDSSH1,2029,0.1704355199999997
REGION1,HRHYDSSH1,2029,0.00846144
REGION1,IEHYDSSH1,2029,0.0084096
REGION1,ITHYDSSH1,2029,0.2184566399999997
REGION1,LTHYDSSH1,2029,0.02592
REGION1,LUHYDSSH1,2029,0.034776
REGION1,SLHYDSSH1,2029,0.051332256
REGION1,STHYDSSH1,2029,0.07291008
REGION1,ROHYDSSH1,2029,0.0057168
REGION1,SEHYDSSH1,2029,0.0026496
REGION1,SIHYDSSH1,2029,0.0051264
REGION1,SKHYDSSH1,2029,0.0264096
REGION1,CHHYDSSH1,2029,0.01351419128133722
REGION1,UKHYDSSH1,2029,0.07055817490494287
REGION1,ATBATSH1,2029,3.6877435277653554e-05
REGION1,BEBATSH1,2029,5.1940049686836006e-05
REGION1,BGBATSH1,2029,0.0
REGION1,CHBATSH1,2029,0.0
REGION1,CYBATSH1,2029,0.0
REGION1,CZBATSH1,2029,0.0
REGION1,DEBATSH1,2029,0.0
