REGION,TECHNOLOGY,VALUE
REGION1,CYHFSTPN1,30.0
REGION1,CYSOUTPN1,30.0
REGION1,CYWIONPN1,30.0
REGION1,CYDSCCPN1,30.0
REGION1,CYDSGCPN1,25.0
REGION1,CYDSSTPN1,30.0
REGION1,CYDSHPFN1,20.0
REGION1,CYHFCHPN1,25.0
REGION1,CZNUG2PN1,35.0
REGION1,CZCOCHPN1,25.0
REGION1,CZCOSTPN1,40.0
REGION1,CZLICHPN1,25.0
REGION1,CZLIELN1,40.0
REGION1,CZNGCCPN1,30.0
REGION1,CZNGCHPN1,25.0
REGION1,CZBFHPFN1,25.0
REGION1,CZBFCHPN1,35.0
REGION1,CZDGCHPN1,25.0
REGION1,CZRGCHPN1,25.0
REGION1,CZDSCHPN1,25.0
REGION1,CZDSGCPN1,25.0
REGION1,CZHFCHPN1,25.0
REGION1,CZHFSTPN1,30.0
REGION1,CZBMSTPN1,40.0
REGION1,CZBMCHPN1,35.0
REGION1,CZWSCHPN1,35.0
REGION1,CZWIONPN1,30.0
REGION1,CZSOUTPN1,30.0
REGION1,CZHYDRPN1,50.0
REGION1,CZHYDMPN1,60.0
REGION1,CZHYDSPN1,50.0
REGION1,DENUG2PN1,35.0
REGION1,DECOCHPN1,25.0
REGION1,DECOSTPN1,40.0
REGION1,DELICHPN1,25.0
REGION1,DELIELN1,40.0
REGION1,DENGCCPN1,30.0
REGION1,DENGCHPN1,25.0
REGION1,DEBFHPFN1,25.0
REGION1,DEBFCHPN1,35.0
REGION1,DEDGCHPN1,25.0
REGION1,DEDGELN1,30.0
REGION1,DERGCHPN1,25.0
REGION1,DERGELN1,30.0
REGION1,DEDSCHPN1,25.0
REGION1,DEDSELN1,30.0
REGION1,DEHFCHPN1,25.0
REGION1,DEHFSTPN1,30.0
REGION1,DEBMCHPN1,35.0
REGION1,DEBMSTPN1,40.0
REGION1,DEWSCHPN1,35.0
REGION1,DEWSSTPN1,20.0
REGION1,DEWIOFPN1,30.0
REGION1,DEWIONPN1,30.0
REGION1,DESOUTPN1,30.0
REGION1,DEGOCVPN1,30.0
REGION1,DEHYDMPN1,60.0
REGION1,DEHYDRPN1,50.0
REGION1,DEHYDSPN1,50.0
REGION1,DKBFHPFN1,25.0
REGION1,DKBMSTPN1,40.0
REGION1,DKCOCHPN1,25.0
REGION1,DKHFCHPN1,25.0
REGION1,DKHFSTPN1,30.0
REGION1,DKHYDRPN1,50.0
REGION1,DKNGCCPN1,30.0
REGION1,DKNGCHPN1,25.0
REGION1,DKSOUTPN1,30.0
REGION1,DKWIOFPN1,30.0
REGION1,DKWIONPN1,30.0
REGION1,DKWSCHPN1,35.0
REGION1,DKRGCHPN1,25.0
REGION1,DKDSCHPN1,25.0
REGION1,DKDSELN1,30.0
REGION1,DKBMCHPN1,35.0
REGION1,DKHYDMPN1,60.0
REGION1,EEHFSTPN1,30.0
REGION1,EEHYDRPN1,50.0
REGION1,EENGCHPN1,25.0
REGION1,EENGHPFN1,20.0
REGION1,EESOUTPN1,30.0
REGION1,EEWIONPN1,30.0
REGION1,EEWSCHPN1,35.0
REGION1,EELICHPN1,25.0
REGION1,EELIELN1,40.0
REGION1,EEBFCHPN1,35.0
REGION1,EEDGCHPN1,25.0
REGION1,EEDGELN1,30.0
REGION1,EEBMCHPN1,35.0
REGION1,EEBMSTPN1,40.0
REGION1,GRBFHPFN1,25.0
REGION1,GRBMSTPN1,40.0
REGION1,GRHFCHPN1,25.0
REGION1,GRHFSTPN1,30.0
REGION1,GRHYDMPN1,60.0
REGION1,GRHYDRPN1,50.0
REGION1,GRHYDSPN1,50.0
REGION1,GRNGCCPN1,30.0
REGION1,GRNGCHPN1,25.0
REGION1,GRSOUTPN1,30.0
REGION1,GRWIONPN1,30.0
REGION1,GRLICHPN1,25.0
REGION1,GRLIELN1,40.0
REGION1,GRBFCHPN1,35.0
REGION1,GRRGCHPN1,25.0
REGION1,GRDSCHPN1,25.0
REGION1,GRDSELN1,30.0
