REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,LVHFCHPH1,LVHF,1,2021,2.32558
REGION1,LVNGCCPH1,LVNG,1,2021,1.754385964912281
REGION1,LVNGCHPH1,LVNG,1,2021,1.68936
REGION1,LVLICHPH1,LVLI,1,2021,2.43322
REGION1,LVBFCHPH1,LVBF,1,2021,3.25808997632202
REGION1,LVDSCHPH1,LVDS,1,2021,2.32558
REGION1,LVBMCHPH1,LVBM,1,2021,3.25808997632202
REGION1,MTNGHPFH1,MTNG,1,2021,2.94118
REGION1,MTBFCHPH1,MTBF,1,2021,3.25808997632202
REGION1,MTDSGCCH1,MTDS,1,2021,1.754385964912281
REGION1,MTDSGCPH1,MTDS,1,2021,2.857142857142857
REGION1,MTDSSTPH1,MTDS,1,2021,2.32558
REGION1,NLBFHPFH1,NLBF,1,2021,2.662337662337662
REGION1,NLBMSTPH1,NLBM,1,2021,2.884249847109964
REGION1,NLCOCHPH1,NLCO,1,2021,2.43322
REGION1,NLNGCCPH1,NLNG,1,2021,1.754385964912281
REGION1,NLNGCHPH1,NLNG,1,2021,1.68936
REGION1,NLNUG2PH1,NLNU,1,2021,2.631578947368421
REGION1,NLWSCHPH1,NLWS,1,2021,3.25808997632202
REGION1,NLCOSTPH1,NLCO,1,2021,2.654557624437142
REGION1,NLBFCHPH1,NLBF,1,2021,3.25808997632202
REGION1,NLDGCHPH1,NLDG,1,2021,1.68936
REGION1,NLDGELH1,NLDG,1,2021,1.754385964912281
REGION1,NLRGCHPH1,NLRG,1,2021,1.68936
REGION1,NLRGELH1,NLRG,1,2021,1.754385964912281
REGION1,NLDSCHPH1,NLDS,1,2021,2.32558
REGION1,NLDSELH1,NLDS,1,2021,1.754385964912281
REGION1,NLHFCHPH1,NLHF,1,2021,2.32558
REGION1,NLBMCHPH1,NLBM,1,2021,3.25808997632202
REGION1,PLCOCHPH1,PLCO,1,2021,2.43322
REGION1,PLCOSTPH1,PLCO,1,2021,2.654557624437142
REGION1,PLLICHPH1,PLLI,1,2021,2.43322
REGION1,PLLIELH1,PLLI,1,2021,2.702702702702703
REGION1,PLNGCCPH1,PLNG,1,2021,1.754385964912281
REGION1,PLNGCHPH1,PLNG,1,2021,1.68936
REGION1,PLBFCHPH1,PLBF,1,2021,3.25808997632202
REGION1,PLDGCHPH1,PLDG,1,2021,1.68936
REGION1,PLRGCHPH1,PLRG,1,2021,1.68936
REGION1,PLDSCHPH1,PLDS,1,2021,2.32558
REGION1,PLDSELH1,PLDS,1,2021,1.754385964912281
REGION1,PLHFCHPH1,PLHF,1,2021,2.32558
REGION1,PLBMSTPH1,PLBM,1,2021,2.884249847109964
REGION1,PLBMCHPH1,PLBM,1,2021,3.25808997632202
REGION1,PTBFHPFH1,PTBF,1,2021,2.662337662337662
REGION1,PTBMSTPH1,PTBM,1,2021,2.884249847109964
REGION1,PTGOCVPH1,PTGO,1,2021,10.0
REGION1,PTHFCHPH1,PTHF,1,2021,2.32558
REGION1,PTHFSTPH1,PTHF,1,2021,2.32558
REGION1,PTNGCCPH1,PTNG,1,2021,1.754385964912281
REGION1,PTNGCHPH1,PTNG,1,2021,1.68936
REGION1,PTOCWVPH1,PTOC,1,2021,1.0
REGION1,PTWSCHPH1,PTWS,1,2021,3.25808997632202
REGION1,PTWSSTPH1,PTWS,1,2021,3.015762987012986
REGION1,PTCOSTPH1,PTCO,1,2021,2.654557624437142
REGION1,PTBFCHPH1,PTBF,1,2021,3.25808997632202
REGION1,PTRGCHPH1,PTRG,1,2021,1.68936
REGION1,PTDSCHPH1,PTDS,1,2021,2.32558
REGION1,PTDSELH1,PTDS,1,2021,1.754385964912281
REGION1,PTBMCHPH1,PTBM,1,2021,3.25808997632202
REGION1,ROBMSTPH1,ROBM,1,2021,2.884249847109964
REGION1,ROCOCHPH1,ROCO,1,2021,2.43322
REGION1,ROHFCHPH1,ROHF,1,2021,2.32558
REGION1,RONGCHPH1,RONG,1,2021,1.68936
REGION1,RONUG2PH1,RONU,1,2021,2.631578947368421
REGION1,ROLICHPH1,ROLI,1,2021,2.43322
REGION1,ROLIELH1,ROLI,1,2021,2.702702702702703
REGION1,RONGCCPH1,RONG,1,2021,1.754385964912281
REGION1,RODGCHPH1,RODG,1,2021,1.68936
REGION1,RODGELH1,RODG,1,2021,1.754385964912281
REGION1,RORGCHPH1,RORG,1,2021,1.68936
REGION1,RODSCHPH1,RODS,1,2021,2.32558
REGION1,RODSELH1,RODS,1,2021,1.754385964912281
REGION1,ROHFSTPH1,ROHF,1,2021,2.32558
REGION1,ROBMCHPH1,ROBM,1,2021,3.25808997632202
REGION1,ROGOCVPH1,ROGO,1,2021,10.0
REGION1,SEBMCHPH1,SEBM,1,2021,3.25808997632202
REGION1,SECOCHPH1,SECO,1,2021,2.43322
REGION1,SEHFCHPH1,SEHF,1,2021,2.32558
REGION1,SENGCCPH1,SENG,1,2021,1.754385964912281
REGION1,SENGCHPH1,SENG,1,2021,1.68936
REGION1,SENUG2PH1,SENU,1,2021,2.631578947368421
REGION1,SEWSCHPH1,SEWS,1,2021,3.25808997632202
REGION1,SELICHPH1,SELI,1,2021,2.43322
REGION1,SEBFCHPH1,SEBF,1,2021,3.25808997632202
REGION1,SEDGCHPH1,SEDG,1,2021,1.68936
REGION1,SEDSCHPH1,SEDS,1,2021,2.32558
REGION1,SEDSELH1,SEDS,1,2021,1.754385964912281
REGION1,SEHFSTPH1,SEHF,1,2021,2.32558
REGION1,SIHFCHPH1,SIHF,1,2021,2.32558
REGION1,SIHFSTPH1,SIHF,1,2021,2.32558
REGION1,SINGCHPH1,SING,1,2021,1.68936
REGION1,SINUG2PH1,SINU,1,2021,2.631578947368421
REGION1,SILICHPH1,SILI,1,2021,2.43322
REGION1,SINGCCPH1,SING,1,2021,1.754385964912281
REGION1,SIBFCHPH1,SIBF,1,2021,3.25808997632202
REGION1,SIDSCHPH1,SIDS,1,2021,2.32558
REGION1,SIDSELH1,SIDS,1,2021,1.754385964912281
REGION1,SIBMCHPH1,SIBM,1,2021,3.25808997632202
REGION1,SIWSCHPH1,SIWS,1,2021,3.25808997632202
REGION1,SKBFHPFH1,SKBF,1,2021,2.662337662337662
REGION1,SKBMSTPH1,SKBM,1,2021,2.884249847109964
REGION1,SKCOCHPH1,SKCO,1,2021,2.43322
REGION1,SKHFCHPH1,SKHF,1,2021,2.32558
REGION1,SKNGCCPH1,SKNG,1,2021,1.754385964912281
REGION1,SKNGCHPH1,SKNG,1,2021,1.68936
REGION1,SKNUG2PH1,SKNU,1,2021,2.631578947368421
REGION1,SKWSCHPH1,SKWS,1,2021,3.25808997632202
REGION1,SKLICHPH1,SKLI,1,2021,2.43322
REGION1,SKLIELH1,SKLI,1,2021,2.702702702702703
REGION1,SKBFCHPH1,SKBF,1,2021,3.25808997632202
REGION1,SKDGCHPH1,SKDG,1,2021,1.68936
REGION1,SKRGCHPH1,SKRG,1,2021,1.68936
REGION1,SKDSCHPH1,SKDS,1,2021,2.32558
REGION1,SKDSELH1,SKDS,1,2021,1.754385964912281
